src_title,db_type,fonds_title,creator,image_title,subjects,names,creation_date,image_number,description,image_url
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Street Railway Derailment on Groat Ravine Bridge,,,"October 22, 1919",EA-10-1050,Bridges - Groat Ravine Bridge Streets - 102 Avenue Transportation - Cars.,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1NzU=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3MjY=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Street Railway Derailment,,,"October 22, 1919",EA-10-1055,Bridges - Groat Ravine Streets - 102 Avenue Transportation - Horse & Buggy - Cars,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1ODA=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3MzE=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,Photographs,MS-56 Northern Alberta Pioneers and Old Timers' Association fonds,unknown,Looking North on 115 Avenue,"Houses, Buildings, Panoramic photographs",,[ca. 1912],EA-10-1056,"Taken in Cromdale at 115 Avenue and 80th Street, includes wooden homes, bus barns, Edmonton Power Station, Edmonton Telephones building and C.N.R. Tracks. Same as EA-10-3178.",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=NDkwNzM=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MjUyNDU=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
Title based on content of image.,NAPOTA,MS-56 Northern Alberta Pioneers and Old Timers' Association fonds,unknown,On The Groat Ravine Bridge Looking East,"Bridges, Buildings, Streets, Wooden sidewalks",,1920,EA-10-1061,"102 Avenue, includes Buena Vista Apartments and the Robertson United Church.",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1ODc=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3MzU=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Groat Ravine Bridge Looking South East,,,1920,EA-10-1062,Buildings - Houses Bridges - Groat Ravine Bridge Streets - 102 Avenue - Clifton Place,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1ODg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3MzY=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Jasper Avenue Looking West,,,1920,EA-10-1064,Buildings - MacLean Block Businesses - Shoe Repair Shop Banks - Traders Bank of Canada Streets - Jasper Avenue - 107 Street,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk1OTA=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3Mzg=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Canora Tot Lot Opening Parade,,,1956,EA-10-1084,Celebrations - Parade Business - Melton Real Estate - Safeway Streets - 102 Avenue,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2MTM=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3NjE=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Jasper Avenue Looking West from 102 Street,,,1904,EA-10-1118,"Churches - First Presbyterian Business - Candy Kitchen - Blacksmith (General) Streets - Jasper Ave. - 102 Street, - 103 Street",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NTA=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY3OTg=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,105 Street Bridge Under Construction,,,1912,EA-10-1120,Bridges 105 Street (Walterdale) North Saskatchewan River Buildings - Parliament Bidgs. - Terrace Building Churches - First Presbyterian Schools - McKay Avenue,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NTM=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4MDE=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Civic Block,,,1952,EA-10-1123,Buildings - Civic Block Streets - 102 Avenue - 99 Street Business - Archibald's Drug Store Transportation - Cars,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NTY=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4MDQ=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Police Headquarters Bldg. - Former Civic Block,,,1965,EA-10-1127,Buildings - Police Headquarters Streets - 99 Street - 102 Avenue,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NjA=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4MDg=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios No. 18913-2,Civic Block,,,"January 4, 1957",EA-10-1129,Located at 99th Street & 102 Avenue Buildings Civic Block Business - Archibald Drugs Transportation - Cars,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NjI=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4MTA=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid #1217,Edmonton from 107 Street & 97 Avenue,,,1915,EA-10-1132,Rossdale Buildings - Houses - Children's Shelter (Rossdale Apts.) - Rossdale Apartments - Campbell & Ottewell Elevator Schools - Donald Ross School,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NjY=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4MTQ=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,102 Street & 102 Avenue Looking North-East,,,1930,EA-10-1136,"Adams Block;
Motordrome Ltd.;
Woodward's;
Dominion Motors;
Tegler Building;
P.W. Boon & Co.;
C.N.R. Station;
Toole Bros.;
Moser-Ryder;
Y.M.C.A.;
102 Avenue & 102 Street
Church",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk2NzA=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4MTg=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid,Jasper Avenue & 101 Street,,,1931,EA-10-1172,BuildinBuildings - Jackson Block Banks - Canadian Bank of Commerce Business - Macdonald's Pharmacy - Edmonton Sporting Goods - Jackson Bros Jewellers Transportation - Car,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3MDg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4NTY=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid,Bicycle Races,,,1915,EA-10-1189,Buildings - Tegler Building - Adams Block Streets - 102 Avenue,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3MjY=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY4NzQ=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Traffic Accident,,,1918,EA-10-1218,Transportation - Cars Streets - 104 Street - 87 Avenue Churches - Knox United Church,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3NjA=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY5MDg=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Jasper Avenue & 109 Street,,,1913,EA-10-1243,Transportation - Streetcar - Horse & Wagon - Train - Truck Subway Buildings - C.P.R. Station Streets - Jasper Avenue - 109 Street,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk3ODg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY5MzY=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,C.A. Lake,Exhibition Parade,,,1965,EA-10-1268,Transportation - Horse & Landau Streets - 102 Avenue - 119 Street,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4MTU=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY5NjM=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Street Railway Construction,,,1912,EA-10-1295,"Buildings - C.P. Station (Under Const.) Streets - 109 Street - Jasper Avenue Hunter, James Murphy, S. WintersgiU, J.",https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4NDU=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTY5OTM=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Edmonton - Looking East from 103 Street,,,1945,EA-10-132,Buildings - C.N.R. Station (old) - C.N.R. Station (1928) - Transportation - Cars - Trucks - Schools - Queens Avenue - Church - Hope Mission - Hotels - St. Regis - Ritz Hotel - Streets - 101 Street - 104 Avenue,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4NzM=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcwMjE=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Jasper Avenue looking east from 100 Street,,,1920,EA-10-133,Imperial Bank of Canada Morris Block Gallager Block LaRue & Picard Block Blowey Henry Furniture John Christie Army Goods Carey Electric Café Macdonald Hotel Streetcars Cars Horse & Wagon Trucks,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4ODQ=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcwMzI=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Edmonton - Looking East on 102 Avenue,,,1912,EA-10-134,Streets - 102 A Avenue - 103 Street - Buildings - Livery Stable - Y.M.C.A. - Houses - Business - Wilbee-Forrest Auto Co. - Transportation - Oxen and Covered Wagon,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk4OTU=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcwNDM=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,W.G. Williamson,Woodland Dairy,,,1911,EA-10-1358,Located at 109 Avenue & 97 Street Business - Woodland Dairy Transportation Horse & Delivery Wagon,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5MTU=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcwNjI=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Edmonton - Looking South from 101A Ave. on 101 Street,,,1913,EA-10-137,Streets - Jasper Avenue - 101 Street - Inclined Railway - Buildings - Empire Block - McDougall & Secord Block - Hotels - Windsor (Selkirk) - Churches - McDougall Church - Theatres - Bijou - Transportation - Horse & Wagon - Cars,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5Mjg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcwNzU=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,Frasch,Street Railway Construction,,,,EA-10-1388,Jasper Avenue and 109 Street; Western Shoe Repair,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5NDg=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcwOTU=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid #22 65,Humberstone Coal Co.,,,1917,EA-10-1428,near 95th and 103 Avenue Buildings - Humberstone Coal Co. Edmonton Iron Works Streets - 103 Avenue 96 Street,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5OTM=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcxNDA=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Mining Ground Cracks - Streets of Edmonton,,,"March 14, 1927",EA-10-1429,Streets - 101A Avenue 94 Street Buildings - Houses,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5OTQ=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcxNDE=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,F. Gillis,John Walter Mill - Lumber Haulers,,,1914,EA-10-1436,Buildings - Legislative Building - Fort Edmonton Transportation - E.Y. & P. Railway - Horses Streets - 107 Street - 93 Avenue,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwMDI=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcxNDk=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,Jasper Avenue Looking East,,,,EA-10-145,109 Street Subway (under const.) - Streets - Jasper,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwMTc=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcxNjQ=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Subway - C.P.R. - Under Const.,,,1912,EA-10-1464,Buildings - C.P.R. Station (Under Const.) Business - E.H. Gale & Co. Advertising - Billboards,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwMzI=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcxNzk=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,D. Ritchie,Edmonton - Downtown - Looking Northeast from 102 Street,,,1920,EA-10-150,Church - First Baptist - Schools - Queen's Avenue - Streets - 102 Avenue - 102 Street - Hotels - Royal George - King Edward - Leland - Buildings - Tegler Building - Adams Block - Business - Jacobson Tire Co. - Esso Service Station - McFarland Shoe Station,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwNzI=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcyMTk=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
,NAPOTA,Northern Alberta Pioneers and Old Timers' Association fonds,,Edmonton -115 Street and Victoria Avenue,,,"July 19, 1905",EA-10-153,Streets - 115 Street - Victoria Street,https://archivesphotos.edmonton.ca/Presto/content/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxMDY=&pID=MTU3&tSize=NTAw&uSesDM=False&rIdx=MTcyNTM=&rCFU=&aw=RGV0YWlsfHNjcmVlbklEXzEwNDYwfGNudHJsSURfNTA1NzY=
